Subject,Time,A_FILL_LOSE_FILL_b,A_FILL_LOSE_FILL_r,A_FILL_LOSE_FILL_y,A_FILL_LOSE_FILL_b2,A_FILL_LOSE_FILL_r2,A_FILL_LOSE_FILL_y2,A_FILL_LOSE_FILL_b3,A_FILL_LOSE_FILL_r3,ALMO_FILL_LOSE_y3,A_FILL_LOSE_FILL_b4,ALMO_FILL_LOSE_r4,A_FILL_LOSE_FILL_y4,A_FILL_LOSE_FILL_b5,A_FILL_LOSE_FILL_r5,A_FILL_LOSE_FILL_y5,A_FILL_LOSE_FILL_r6,A_FILL_LOSE_FILL_y6,A_FILL_LOSE_FILL_b6,A_FILL_WIN_FILL_b,A_FILL_WIN_FILL_r,A_FILL_WIN_FILL_y,A_FILL_WIN_FILL_y2,A_FILL_WIN_FILL_b2,A_FILL_WIN_FILL_r2,A_FILL_WIN_FILL_b3,A_FILL_WIN_FILL_r3,A_FILL_WIN_FILL_y3,A_FILL_WIN_FILL_r4,A_FILL_WIN_FILL_y4,A_FILL_WIN_FILL_b4,A_q_d_n_b,A_FILL_LOSE_TAR_b,A_q_d_n_r,A_FILL_LOSE_TAR_r,A_q_d_n_y,A_FILL_LOSE_TAR_y,A_q_d_f_b,A_FILL_LOSE_TAR_b2,A_q_d_f_r,A_FILL_LOSE_TAR_r2,A_q_d_f_y,A_FILL_LOSE_TAR_y2,A_q_c_n_b,A_FILL_LOSE_TAR_b3,A_q_c_n_r,A_FILL_LOSE_TAR_r3,A_q_c_n_y,A_FILL_LOSE_TAR_y3,A_q_c_f_b,A_FILL_LOSE_TAR_b4,A_q_c_f_r,A_FILL_LOSE_TAR_r4,A_q_c_f_y,A_FILL_LOSE_TAR_Y4,A_s_d_n_b,A_FILL_LOSE_TAR_b5,A_s_d_n_r,A_FILL_LOSE_TAR_r5,A_s_d_n_y,A_FILL_LOSE_TAR_y5,A_s_d_f_b,A_FILL_LOSE_TAR_b6,A_s_d_f_r,A_FILL_LOSE_TAR_r6,A_s_d_f_y,A_FILL_LOSE_TAR_y6,A_s_c_n_b,A_FILL_LOSE_TAR_b7,A_s_c_n_r,A_FILL_LOSE_TAR_r7,A_s_c_n_y,A_FILL_LOSE_TAR_y7,A_s_c_f_b,A_FILL_LOSE_TAR_b8,A_s_c_f_r,A_FILL_LOSE_TAR_r8,A_s_c_f_y,A_FILL_LOSE_TAR_y8,B_FILL_LOSE_FILL_b,B_FILL_LOSE_FILL_r,B_FILL_LOSE_FILL_y,B_FILL_LOSE_FILL_b2,B_FILL_LOSE_FILL_r2,B_FILL_LOSE_FILL_y2,B_FILL_LOSE_FILL_b3,B_FILL_LOSE_FILL_r3,B_FILL_LOSE_FILL_y3,B_FILL_LOSE_FILL_b4,B_FILL_LOSE_FILL_r4,B_FILL_LOSE_FILL_y4,B_FILL_LOSE_FILL_b5,B_FILL_LOSE_FILL_r5,B_FILL_LOSE_FILL_y5,B_FILL_LOSE_FILL_r6,B_FILL_LOSE_FILL_y6,B_FILL_LOSE_FILL_b6,B_FILL_WIN_FILL_b,B_FILL_WIN_FILL_r,B_FILL_WIN_FILL_y,B_FILL_WIN_FILL_b2,B_FILL_WIN_FILL_r2,B_FILL_WIN_FILL_y2,B_FILL_WIN_FILL_b3,B_FILL_WIN_FILL_r3,B_FILL_WIN_FILL_y3,B_FILL_WIN_FILL_b4,B_FILL_WIN_FILL_r4,B_FILL_WIN_FILL_y4,B_q_d_n_b,B_FILL_LOSE_TAR_b,B_q_d_n_r,B_FILL_LOSE_TAR_r,B_q_d_n_y,B_FILL_LOSE_TAR_y,B_q_d_f_b,B_FILL_LOSE_TAR_b2,B_q_d_f_r,B_FILL_LOSE_TAR_r2,B_q_d_f_y,B_FILL_LOSE_TAR_y2,B_q_c_n_b,B_FILL_LOSE_TAR_b3,B_q_c_n_r,B_FILL_LOSE_TAR_r3,B_q_c_n_y,B_FILL_LOSE_TAR_y3,B_q_c_f_b,B_FILL_LOSE_TAR_b4,B_q_c_f_r,B_FILL_LOSE_TAR_r4,B_q_c_f_y,B_FILL_LOSE_TAR_y4,B_s_d_n_b,B_FILL_LOSE_TAR_b5,B_s_d_n_r,B_FILL_LOSE_TAR_r5,B_s_d_n_y,B_FILL_LOSE_TAR_y5,B_s_d_f_b,B_FILL_LOSE_TAR_b6,B_s_d_f_r,B_FILL_LOSE_TAR_r6,B_s_c_n_b,B_FILL_LOSE_TAR_b7,B_s_d_f_y,B_FILL_LOSE_TAR_y6,B_s_c_n_r,B_FILL_LOSE_TAR_r7,B_s_c_n_y,B_FILL_LOSE_TAR_y7,B_s_c_f_b,B_FILL_LOSE_TAR_b8,B_s_c_f_r,B_FILL_LOSE_TAR_r8,B_s_c_f_y,B_FILL_LOSE_TAR_y8
25,1554,9,8,7,9,8,7,8,9,8,9,8,9,9,9,9,9,9,9,8,8,10,9,10,8,9,10,10,10,9,8,8,8,9,7,9,10,9,8,7,9,8,9,9,8,8,7,9,7,9,9,8,9,9,9,10,8,8,9,9,9,8,8,9,10,8,9,9,9,9,7,9,8,9,9,9,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,9,8,9,8,9,10,9,10,9,10,10,8,10,10,8,8,8,8,10,10,8,8,8,9,10,8,9,8,10,9,8,8,8,10,10,8,8,8,8,10,10,9,8,10,8,8,9,10,9,10,8,10,9,8,10,8,10,8,10,10,9,8,8,10,8,10,10,9,8,10,8,10,9,10,8,8
27,1591,9,9,8,10,8,10,9,10,9,9,8,9,9,10,10,8,9,7,7,10,8,10,9,8,8,10,9,8,10,8,10,8,8,9,9,9,8,10,10,8,9,10,8,9,9,8,9,10,9,10,8,8,9,8,8,9,8,10,8,9,10,9,9,10,8,9,8,9,8,9,9,9,10,9,9,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,10,6,5,6,6,7,5,4,4,6,4,3,4,4,11,7,11,5,11,7,11,4,11,5,11,6,11,6,11,7,11,6,11,6,11,6,11,5,11,6,11,7,11,6,11,6,11,4,11,6,11,11,11,5,11,5,11,7,11
29,1651,9,9,9,8,9,9,7,7,8,9,7,8,8,9,7,9,7,7,7,7,7,7,8,8,8,7,7,7,7,8,9,9,9,8,9,7,9,7,9,9,8,9,9,8,9,9,8,9,7,7,7,8,7,8,8,7,9,7,8,7,7,9,8,9,9,9,7,9,9,7,8,9,7,9,8,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,7,8,8,7,8,7,8,9,8,8,7,8,9,9,8,7,8,9,9,7,7,9,7,7,9,8,9,7,9,9,9,8,7,7,7,7,8,9,9,9,7,8,7,7,7,9,8,7,9,9,9,9,8,8,8,7,8,9,8,8,7,9,7,8,8,8,8,8,9,8,8,9,7,8,7
31,1682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,10,7,7,9,7,9,8,8,9,8,9,8,7,7,7,8,7,9,7,10,9,8,7,9,8,7,8,8,9,8,8,7,8,10,9,8,8,7,8,10,7,9,8,9,10,7,8,8,7,7,7,8,10,8,9,9,9,9,8,9,8,9,9,8,9,9,10,8,7,8,7,9,8,10,10,8
32,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,9,7,7,8,10,8,10,8,9,8,8,10,8,9,7,7,8,7,9,8,9,8,8,10,8,9,9,10,8,8,9,7,7,9,8,9,8,9,7,9,9,8,8,8,9,10,8,10,9,9,8,9,10,7,8,8,10,9,7,10,8,7,8,8,7,8,8,9,10,7,8,10,8,9,8,7
33,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,2,3,1,1,2,1,1,1,2,2,2,9,11,9,11,9,11,8,11,7,11,8,11,9,11,9,11,9,11,6,11,8,11,8,11,9,11,9,11,9,11,8,11,6,11,9,11,8,11,9,11,9,11,3,11,8,11,7,11
34,2040,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,1,1,1,1,1,3,1,1,1,2,1,7,11,6,11,6,11,1,11,3,11,2,11,4,11,6,11,8,11,2,11,3,11,4,11,5,11,7,11,7,9,2,6,2,11,1,11,9,11,7,11,7,11,2,11,4,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1973,9,9,9,9,10,7,10,10,10,8,10,9,9,7,9,7,7,8,9,10,9,8,10,8,9,8,8,10,9,7,9,8,9,9,9,9,7,9,10,10,10,9,8,7,10,10,8,10,9,8,7,7,7,8,9,10,10,10,7,10,9,8,10,8,10,9,9,10,9,8,7,9,8,7,10,8,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1149,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,2,6,1,1,1,6,1,3,2,2,8,11,10,11,10,11,6,11,6,11,6,11,9,11,8,11,9,11,6,11,7,11,5,11,10,11,10,11,10,11,8,11,5,11,7,11,10,11,10,11,10,11,6,11,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,4,1,1,1,1,2,1,10,11,10,11,10,11,6,11,6,11,8,11,10,10,10,11,10,11,3,11,6,11,3,11,10,11,10,11,10,11,5,11,6,11,10,11,5,11,10,11,10,11,7,11,4,11,3,11
38,1800,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,1,3,1,2,1,1,1,2,6,5,10,11,8,11,9,11,8,11,6,11,6,11,9,11,8,11,8,11,7,11,7,11,7,11,9,11,9,11,9,11,7,11,5,11,8,7,8,11,8,11,9,11,7,11,7,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2541,8,7,7,8,7,8,8,8,8,7,7,8,8,7,8,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,8,1,10,1,8,1,8,1,8,1,10,1,7,1,10,1,7,1,9,1,8,1,10,1,8,1,10,1,7,1,8,1,8,1,10,1,7,1,10,1,7,1,8,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1030,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,2,3,2,3,2,2,2,2,4,4,9,11,8,11,3,11,7,11,4,11,4,11,6,11,7,11,8,11,4,11,3,11,4,11,9,11,8,11,9,11,4,11,4,11,7,11,7,11,5,11,8,11,3,11,4,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2994,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,2,1,1,9,11,7,11,8,11,3,11,4,11,3,11,7,11,8,11,8,11,2,11,3,11,3,11,8,11,6,11,8,11,2,11,6,11,5,11,7,11,8,11,8,11,4,11,4,11,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2175,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,3,1,2,2,1,8,11,8,11,7,11,4,11,8,11,7,11,7,11,8,11,8,11,7,11,1,11,3,11,7,11,7,11,8,11,4,11,5,11,5,11,7,11,9,11,8,11,4,11,3,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3461,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,2,1,3,1,1,1,3,1,2,4,3,8,11,10,11,10,11,6,11,5,11,6,11,7,11,8,11,8,11,4,11,8,11,4,11,7,11,10,11,10,11,3,11,4,11,5,11,10,11,10,11,10,11,7,11,5,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,2,1,2,1,1,1,1,1,1,8,11,8,11,9,11,6,11,2,11,2,11,1,11,8,11,8,11,1,11,1,11,1,11,9,11,8,11,8,11,3,11,3,11,10,11,2,11,9,11,10,11,4,11,1,11,1,11
45,1362,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,2,3,1,1,1,1,1,2,3,2,10,11,9,11,10,11,7,11,7,11,8,11,10,11,10,11,10,11,5,11,8,11,6,11,10,11,10,11,10,11,7,11,7,11,8,11,10,11,10,11,10,11,7,11,5,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,1,6,6,1,4,5,6,6,7,2,2,10,11,10,11,10,11,8,11,8,11,7,11,10,11,10,11,10,11,7,11,6,11,7,11,10,11,10,11,10,11,6,11,8,11,10,11,7,11,10,11,10,11,8,11,6,11,8,11
47,2146,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,1,2,2,1,1,1,1,1,2,1,3,9,11,9,11,8,11,4,11,5,11,4,11,8,11,8,11,9,11,6,11,4,11,6,11,9,11,9,11,8,11,6,11,6,11,7,11,10,11,8,11,10,11,7,11,4,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1286,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,1,3,2,2,2,2,1,3,1,2,2,7,11,6,11,7,11,2,11,5,11,2,11,7,11,7,11,5,11,1,11,2,11,1,11,6,11,7,11,9,11,11,11,3,11,2,11,10,11,1,11,8,11,5,11,3,11,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,2,2,2,2,1,2,2,1,2,2,2,10,11,10,11,9,11,3,11,4,11,4,11,10,11,9,11,9,11,3,11,3,11,4,11,10,11,10,11,10,11,4,11,2,11,10,11,5,11,10,11,10,11,4,11,6,11,4,11
50,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,6,3,6,4,3,7,4,5,6,5,3,6,8,11,8,11,6,3,5,11,7,11,6,11,9,11,9,11,8,11,6,11,7,11,2,11,9,11,8,11,8,11,7,11,5,11,9,11,11,11,8,11,9,11,6,11,6,11,7,11
51,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,1,6,1,1,2,1,5,1,1,3,6,10,11,8,11,9,11,6,11,6,11,5,11,8,11,10,11,8,11,1,11,4,11,5,11,8,11,8,11,9,11,7,11,7,11,10,11,7,11,10,11,10,11,6,11,6,11,7,11
52,3776,5,11,5,8,4,11,11,6,6,11,11,7,8,11,4,9,11,10,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,11,1,4,1,10,1,4,1,11,1,3,1,6,2,3,1,11,1,11,1,4,1,1,1,11,2,2,1,9,1,8,1,11,1,1,1,4,1,8,1,11,1,7,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,3,4,1,1,2,1,3,1,3,2,2,8,11,8,11,8,11,6,11,5,11,5,11,8,11,8,11,8,11,4,11,5,11,5,11,7,11,7,11,8,11,4,11,4,11,8,11,5,11,7,11,7,11,5,11,5,11,5,11
54,2339,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,1,1,8,1,1,1,1,1,7,1,1,10,11,10,11,10,11,9,11,8,11,10,11,10,11,10,11,10,11,10,11,10,11,9,11,10,11,10,11,10,11,9,11,8,11,10,11,10,11,10,11,10,11,8,11,9,11,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1420,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,8,8,5,8,9,8,7,7,8,11,9,7,10,7,10,6,2,3,2,2,2,3,3,3,2,2,1,2,4,7,3,8,4,6,3,8,3,5,3,9,1,4,3,7,1,5,3,4,2,10,2,8,4,4,4,8,4,7,3,8,3,7,3,7,2,8,3,7,2,4,2,6,2,10,2,8
57,3143,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,2,2,2,1,1,1,4,1,3,3,4,9,11,9,11,9,11,7,11,4,11,5,11,10,10,10,11,8,11,8,11,6,11,6,11,9,11,9,11,8,11,7,11,6,11,7,11,9,11,9,11,9,11,6,11,4,11,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3650,11,11,7,11,8,11,11,11,7,7,7,11,11,8,11,11,11,7,5,9,5,6,5,4,6,5,4,6,5,7,8,10,9,11,8,4,7,11,7,8,6,11,9,11,9,11,4,11,6,9,4,11,5,7,9,6,8,11,8,7,7,11,6,8,5,11,6,11,4,6,5,11,10,5,4,11,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1205,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,3,4,3,4,3,3,3,4,5,4,3,8,11,7,11,8,11,6,11,7,11,4,11,5,11,4,11,5,11,7,11,5,11,4,11,8,11,8,11,8,11,3,11,6,11,8,11,8,11,8,11,9,11,4,11,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,3,2,3,3,4,4,3,4,3,2,5,7,11,10,11,8,11,6,11,5,11,4,11,9,11,9,11,8,11,7,11,5,11,5,11,8,11,7,11,4,11,5,11,8,11,9,11,7,11,8,11,6,11,6,11,5,11,5,11
61,1540,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4,4,5,3,5,5,2,9,6,3,8,6,6,11,10,11,9,11,7,11,8,11,7,11,8,11,7,11,8,11,2,11,7,11,5,11,9,11,10,11,8,11,6,11,4,11,7,11,9,11,10,11,7,11,4,11,3,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3061,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,2,1,1,1,1,1,1,10,3,10,11,9,11,10,11,1,11,10,11,1,11,2,11,5,11,1,11,1,9,4,11,2,11,7,8,4,11,7,11,6,11,1,11,3,11,2,11,8,11,10,11,1,11,1,11,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,2,2,1,1,1,1,1,1,1,3,1,10,11,11,11,10,11,3,11,6,11,7,11,1,11,8,11,10,11,8,11,5,11,6,11,10,11,9,11,8,11,6,11,7,11,10,11,1,11,10,11,10,11,7,11,8,11,9,11
64,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,1,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,1,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11,1,11
65,882,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,4,4,3,3,3,3,3,3,5,6,4,10,11,9,11,9,11,8,11,8,11,7,11,9,11,10,11,9,11,7,11,6,11,7,11,9,11,9,11,9,11,7,11,7,11,5,11,9,11,9,11,10,11,6,11,6,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1245,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,2,1,3,1,1,1,1,1,1,1,6,9,11,9,11,8,11,6,11,6,11,3,11,8,11,7,11,7,11,4,11,4,11,4,11,6,11,8,11,9,11,3,11,4,11,5,11,9,11,8,11,7,11,3,11,2,11,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1508,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,2,2,3,2,2,2,2,3,3,3,2,8,11,10,11,9,11,7,11,4,11,5,11,8,11,9,11,9,11,4,11,3,11,5,11,9,11,10,11,9,11,3,11,5,11,4,11,5,11,8,11,10,11,5,11,5,11,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,11,1,11,11,11,11,1,1,11,11,11,10,10,10,10,10,10,10,10,10,10,9,10,10,4,10,1,10,2,10,11,9,1,10,11,7,2,10,1,10,11,10,11,10,11,10,11,10,2,10,2,9,2,10,1,9,3,10,2,10,11,8,1,10,2,9,11,9,11,10,11
69,1466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2,3,2,1,1,2,1,3,2,3,3,2,8,11,8,11,8,11,6,11,6,11,5,11,7,11,9,11,8,11,6,11,7,11,5,11,7,11,8,11,9,11,5,11,6,11,9,11,6,11,8,11,8,11,5,11,4,11,6,11
70,1594,9,9,10,10,8,10,9,7,9,8,4,8,10,10,8,7,6,5,10,8,7,9,4,9,10,9,8,9,9,6,9,9,9,9,10,10,8,10,9,8,5,9,7,10,9,9,6,10,6,10,7,7,7,8,8,10,8,10,10,10,9,8,10,8,10,5,7,8,7,5,9,10,8,10,10,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,2,4,5,3,4,5,2,5,2,3,5,10,11,10,11,10,11,2,11,1,11,7,11,10,11,10,11,10,11,1,11,1,11,5,11,9,11,10,11,10,11,4,11,5,11,10,11,5,11,10,11,10,11,5,11,7,11,3,11
72,2059,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11,11,9,11,10,10,10,10,10,9,10,10,10,10,10,10,10,11,10,11,9,10,10,11,11,10,10,11,10,11,10,11,10,11,10,11,11,11,10,11,10,11,10,11,10,10,10,11,10,6,10,11,11,11,10,11,10,11,11,11,10,11,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
